Ministry Name,Total Actual
Legislative Assembly,121981743
Management of Public Funds and Debt,2313905040
Ministry of Agriculture and Food,327802047
Ministry of Attorney General,874201061
Ministry of Children and Family Development,2429733295
Ministry of Citizens' Services,758066827
Ministry of Education and Child Care,9792826528
Ministry of Emergency Management and Climate Readiness,435147636
Ministry of Energy and Climate Solutions,557723491
Ministry of Environment and Parks,269797497
Ministry of Finance,2656294626
Ministry of Forests,1400109980
Ministry of Health,33430102973
Ministry of Housing and Municipal Affairs,1741842856
Ministry of Indigenous Relations and Reconciliation,297799734
Ministry of Infrastructure,45466640
"Ministry of Jobs, Economic Development and Innovation",219245870
Ministry of Labour,41257260
Ministry of Mental Health and Addictions,0
Ministry of Mining and Critical Minerals,70021881
Ministry of Municipal Affairs,0
Ministry of Post-Secondary Education and Future Skills,3518772453
Ministry of Public Safety and Solicitor General,1172738344
Ministry of Social Development and Poverty Reduction,5175742966
"Ministry of Tourism, Arts, Culture and Sport",230815492
Ministry of Transportation and Transit,1458853646
"Ministry of Water, Land and Resource Stewardship",347619977
Office of the Premier,16088718
Officers of the Legislature,173721526
Capital Funding,4438476626
Tax Transfers,3352062419
